gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
m7100,1,1,CHR_THIS,"Temporary placement to check event progression. Once night activities and quests have been officially added, please delete.","Temporary placement to check event progression.<br/>Once night activities and quests have been officially<br/>added, please delete.",CHR_THIS,イベント進行確認用に仮配置しています。 ※夜行動やクエストが正式入力しましたら削除をお願いいたします。,イベント進行確認用に仮配置しています。<br/>※夜行動やクエストが正式入力しましたら削除をお願いいたします。,,
m7100,7,199,Ferry,"Please, Arusha!","Please, Arusha!",フェリ,翼の女神（アルーシャ）よ──！,"<audio id=""v02_60028""><source src=""talk/11/v02_60028.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_60028').play()"">翼の女神（アルーシャ）よ──！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,7,200,Agnes,Keep us safe from harm!,Keep us safe from harm!,アニエス,どうか私たちにご加護を──！,"<audio id=""v01_60042""><source src=""talk/11/v01_60042.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60042').play()"">どうか私たちにご加護を──！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,7,201,Judith,I hope you don't think you can take down the great Grimcat!,I hope you don't think you can take down the<br/>great Grimcat!,ジュディス,“幻夜の猫”（グリムキャッツ）を 舐めるんじゃないわよっ……！！,"<audio id=""v06_60033""><source src=""talk/11/v06_60033.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v06_60033').play()"">“幻夜の猫”（グリムキャッツ）を<br/>舐めるんじゃないわよっ……！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7100,7,202,Kincaid,Assume its strength to be equal to a high-ranking cryptid!,Assume its strength to be equal to a<br/>high-ranking cryptid!,キンケイド,戦闘力、高位幻獣クラスと推定！,"<audio id=""v10_60029""><source src=""talk/11/v10_60029.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v10_60029').play()"">戦闘力、高位幻獣クラスと推定！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,7,203,Van,Here it comes!,Here it comes!,ヴァン,来るぞ──！,来るぞ──！,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,8,204,Agnes,...!,...!,アニエス,……！,……！,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,8,205,Lisette,It's changed phases!,It's changed phases!,リゼット,“相”が変わった……！？,“相”が変わった……！？,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,8,206,Quatre,Aaah!,Aaah!,カトル,うわあああっ……！？,うわあああっ……！？,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,8,207,Aaron,It's calling its minions!,It's calling its minions!,アーロン,手下を呼びやがっただと！？,手下を呼びやがっただと！？,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,8,208,Ferry,"I count twenty-five enemy spirits—no, twenty-six!","I count twenty-five enemy spirits—no, twenty-six!",フェリ,て、敵性霊体、 ２５──いえ２６ッ！！,て、敵性霊体、<br/>２５──いえ２６ッ！！,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,8,209,Judith,You've gotta be kidding me...,You've gotta be kidding me...,ジュディス,じょ、冗談でしょ……！,じょ、冗談でしょ……！,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7100,8,210,Lisette,They must be using the fear of our original targets as a foothold to enter this world!,They must be using the fear of our original targets as<br/>a foothold to enter this world!,リゼット,どうやら彼らの“恐怖”を足がかりに 現界しているようです……！,どうやら彼らの“恐怖”を足がかりに<br/>現界しているようです……！,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,8,211,Kincaid,How careless of me. I should have sent that α unit in after all.,How careless of me. I should have sent that α unit in<br/>after all.,キンケイド,……ぬかったな。 α中隊を突入させておけば。,……ぬかったな。<br/>α中隊を突入させておけば。,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,8,212,Van,"Damn right, you should've! ...Whatever. I'll take this.","Damn right, you should've! ...Whatever. I'll take this.",ヴァン,出し惜しみしてんじゃねえよ！ ……だがここは───,出し惜しみしてんじゃねえよ！<br/>……だがここは───,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,8,213,Agnes,What are you doing?!,What are you doing?!,アニエス,！　ヴァンさん……！？,！　ヴァンさん……！？,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,8,214,Aaron,Wait. You aren't...,Wait. You aren't...,アーロン,おい、まさか──,おい、まさか──,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,8,215,Kincaid,Van...,Van...,キンケイド,ヴァン、お前……,ヴァン、お前……,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,8,216,Van,"Heh. Guess this'll be my first time showin' it to you directly, huh?","Heh. Guess this'll be my first time showin' it to you<br/>directly, huh?",ヴァン,ハッ…… てめえに見せんのは初めてか。,ハッ……<br/>てめえに見せんのは初めてか。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,8,217,Van,"I can't tell you how it works, but enjoy the show—","I can't tell you how it works, but enjoy the show—",ヴァン,カラクリについては教えられねぇが、 せいぜいその目で──,カラクリについては教えられねぇが、<br/>せいぜいその目で──,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,8,218,Bold voice,No! There will be no need for that!,No! There will be no need for that!,豪胆な声,否（いな）、この場は必要あるまい！,"<audio id=""v07_60026""><source src=""talk/11/v07_60026.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v07_60026').play()"">否（いな）、この場は必要あるまい！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,8,219,Quatre,Bergard! XEROS!,Bergard! XEROS!,カトル,ベルガルドさん、ＸＥＲＯＳも！,ベルガルドさん、ＸＥＲＯＳも！,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,8,220,Agnes,A-And...,A-And...,アニエス,そ、それに──,そ、それに──,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,8,221,Van,...,...,ヴァン,…………………………,…………………………,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,8,222,Women's voices,I'll back you up!,I'll back you up!,女性の声,加勢するわ！,"<audio id=""v09_60000""><source src=""talk/11/v09_60000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v09_60000').play()"">加勢するわ！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5110_out.webp""/>"
m7100,8,223,Agnes,Elaine!,Elaine!,アニエス,エレインさん……！,エレインさん……！,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,8,224,Van,The hell? I thought you weren't gonna be back until tomorrow!,The hell? I thought you weren't gonna be back<br/>until tomorrow!,ヴァン,オイオイ…… 明日じゃなかったのかよ！？,オイオイ……<br/>明日じゃなかったのかよ！？,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,8,225,Kincaid,You must have really rushed everything to get back here earlier.,You must have really rushed everything to get back<br/>here earlier.,キンケイド,フッ…… 余程急いで片付けたようだな？,フッ……<br/>余程急いで片付けたようだな？,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,8,226,Elaine,"Yes, but I did everything that I needed to...","Yes, but I did everything that I needed to...",エレイン,ええ──現時点で 付けられるケジメは付けてきた。,"<audio id=""v09_60001""><source src=""talk/11/v09_60001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v09_60001').play()"">ええ──現時点で<br/>付けられるケジメは付けてきた。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5110_out.webp""/>"
m7100,8,227,Elaine,...so I'm not letting you have all the glory!,...so I'm not letting you have all the glory!,エレイン,貴方たちばかりに良い格好はさせない！,"<audio id=""v09_60002""><source src=""talk/11/v09_60002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v09_60002').play()"">貴方たちばかりに良い格好はさせない！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5110_out.webp""/>"
m7100,8,228,Van,Hah!,Hah!,ヴァン,ハッ……！,ハッ……！,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,8,229,Kincaid,"Ever the stubborn one, I see!","Ever the stubborn one, I see!",キンケイド,相変わらずの負けず嫌いだ！,相変わらずの負けず嫌いだ！,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,8,230,Bellegarde,"Have another person join you, Van! Everyone else, we will secure the left and right sides!","Have another person join you, Van! Everyone else, we<br/>will secure the left and right sides!",ベルガルド,ヴァン、１名を付ける！ あとの者は左右を押さえるぞ！,"<audio id=""v07_60027""><source src=""talk/11/v07_60027.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v07_60027').play()"">ヴァン、１名を付ける！<br/>あとの者は左右を押さえるぞ！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,8,231,Van,Thanks!,Thanks!,ヴァン,ええ──頼みます！,ええ──頼みます！,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,8,232,Judith,"Oh, come on... Feels like we just had all our thunder stolen from us!","Oh, come on... Feels like we just had all our thunder<br/>stolen from us!",ジュディス,ああもう、いきなり良い所を 持って行かれた気分だけど……！,ああもう、いきなり良い所を<br/>持って行かれた気分だけど……！,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7100,8,233,Lisette,We'll have to take out the others one at a time so that Van's team can focus on the largest target!,We'll have to take out the others one at a time so that<br/>Van's team can focus on the largest target!,リゼット,ヴァン様たちが集中できるよう 各個撃破いたしましょう！,ヴァン様たちが集中できるよう<br/>各個撃破いたしましょう！,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,8,234,Ferry,Right!,Right!,フェリ,了解（ウーラ）！！,了解（ウーラ）！！,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,8,235,Agnes,I'll support however I can!,I'll support however I can!,アニエス,援護はどうかお任せを！！,援護はどうかお任せを！！,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,8,236,Aaron,I'll get 'em all—even the ones in the middle!,I'll get 'em all—even the ones in the middle!,アーロン,ハッハ──ッ！ そのまま中央も殺ってやんぜ！,ハッハ──ッ！<br/>そのまま中央も殺ってやんぜ！,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,8,237,Quatre,FIO! XEROS! It's time to go all out!,FIO! XEROS! It's time to go all out!,カトル,ＦＩＯ、ＸＥＲＯＳ、 出し惜しみは無しだよ！,ＦＩＯ、ＸＥＲＯＳ、<br/>出し惜しみは無しだよ！,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,9,238,,Select one additional member to support Van's group in battle.,Select one additional member to support Van's group<br/>in battle.,,ヴァンたちに加勢するメンバーを１人選んでください。,<C1>ヴァンたちに加勢するメンバーを１人選んでください。,,
m7100,10,239,Ferry,*pant* *pant*,*pant* *pant*,フェリ,はあっ、はあっ、はあっ……,はあっ、はあっ、はあっ……,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,10,240,Aaron,It'll take more than that to stop us.,It'll take more than that to stop us.,アーロン,ケッ…… どんなモンだっつーの……,ケッ……<br/>どんなモンだっつーの……,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,10,241,Lisette,I can't sense their presence any longer.,I can't sense their presence any longer.,リゼット,敵性反応……消滅しました。,敵性反応……消滅しました。,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,10,242,Quatre,"The space around us seems to have stabilized now, too.","The space around us seems to have stabilized<br/>now, too.",カトル,……空間の“揺らぎ”も もう無くなったみたいだね。,……空間の“揺らぎ”も<br/>もう無くなったみたいだね。,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,10,243,Quatre,"The space around us seems to have stabilized now, too.","The space around us seems to have stabilized<br/>now, too.",カトル,……空間の“揺らぎ”も もう無くなったみたいだね。,……空間の“揺らぎ”も<br/>もう無くなったみたいだね。,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,10,244,Judith,They're all unconscious by the looks of it.,They're all unconscious by the looks of it.,ジュディス,ええ……コイツらも 完全に気絶してるみたいだし。,ええ……コイツらも<br/>完全に気絶してるみたいだし。,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7100,10,245,Agnes,Do you think those creatures really appeared as a result of their fear?,Do you think those creatures really appeared as a<br/>result of their fear?,アニエス,やっぱり“恐怖”に反応して 顕れたんでしょうか……？,やっぱり“恐怖”に反応して<br/>顕れたんでしょうか……？,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,10,246,Bellegarde,Indeed. They must have been underlings of the seventy-seven devils described in the Testaments.,Indeed. They must have been underlings of the<br/>seventy-seven devils described in the Testaments.,ベルガルド,うむ……聖典に記された 七十七の悪魔の眷族であろう。,うむ……聖典に記された<br/>七十七の悪魔の眷族であろう。,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,10,247,Bellegarde,This isn't the first time in recent years that such beings have emerged.,This isn't the first time in recent years that such<br/>beings have emerged.,ベルガルド,ここ数年で何度か 現界していた例はあったが……,ここ数年で何度か<br/>現界していた例はあったが……,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,10,248,Elaine,"Indeed. The last time was during the war, I believe?","Indeed. The last time was during the war, I believe?",エレイン,ええ……一番最近だと、 あの戦役の裏側でしょうか？,ええ……一番最近だと、<br/>あの戦役の裏側でしょうか？,,"<img class=""itp-kuro"" src=""itp/11/avfc5110_out.webp""/>"
m7100,10,249,Van,Yeah. Pretty sure some showed up 'cause of the Great Twilight.,Yeah. Pretty sure some showed up 'cause of the<br/>Great Twilight.,ヴァン,……《黄昏》の影響で 顕れてやがったらしいな。,……《黄昏》の影響で<br/>顕れてやがったらしいな。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,10,250,Kincaid,That they did. Several even appeared in the Republic.,That they did. Several even appeared in the Republic.,キンケイド,ああ、共和国内でも 数体の出現が確認されていた。,ああ、共和国内でも<br/>数体の出現が確認されていた。,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,10,251,Quatre,B-But how did something so significant end up down here?,B-But how did something so significant end up<br/>down here?,カトル,そ、そんなとんでもないのが どうして首都の地下に……？,そ、そんなとんでもないのが<br/>どうして首都の地下に……？,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,10,252,Aaron,You really think these guys feeling cornered was the cause?,You really think these guys feeling cornered was<br/>the cause?,アーロン,ハッ……その馬鹿どもが 追い詰められてたのが原因ってか？,ハッ……その馬鹿どもが<br/>追い詰められてたのが原因ってか？,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,10,253,Bellegarde,...It's hard to say for sure.,...It's hard to say for sure.,ベルガルド,……詳細は分からぬ。,……詳細は分からぬ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,10,254,Bellegarde,"However, it is said that devils are drawn to the negative emotions of humans.","However, it is said that devils are drawn to the<br/>negative emotions of humans.",ベルガルド,だが悪魔が人の負の想念を好んで 顕れると伝えられているのも確かだ。,だが悪魔が人の負の想念を好んで<br/>顕れると伝えられているのも確かだ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,10,255,Bellegarde,"Thankfully, that was the last of their ominous presence here. I can no longer sense them.","Thankfully, that was the last of their ominous<br/>presence here. I can no longer sense them.",ベルガルド,いずれにせよ昏き気配は去った。 もはや此処に顕れることもあるまい。,いずれにせよ昏き気配は去った。<br/>もはや此処に顕れることもあるまい。,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,10,256,Bellegarde,Well done.,Well done.,ベルガルド,よくやったな──おぬし達。,よくやったな──おぬし達。,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,10,257,Ferry,Whew... What a relief.,Whew... What a relief.,フェリ,よ、よかったぁ～っ……,よ、よかったぁ～っ……,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,10,258,Quatre,*sigh* I never expected to find myself up against supernatural beings down here.,*sigh* I never expected to find myself up against<br/>supernatural beings down here.,カトル,ふう、あんな非科学的な連中と やり合う羽目になるなんて……,ふう、あんな非科学的な連中と<br/>やり合う羽目になるなんて……,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,10,259,Lisette,We owe our victory to everyone fighting so valiantly.,We owe our victory to everyone fighting so valiantly.,リゼット,ふふ…… 皆様、どうもお疲れ様でした。,ふふ……<br/>皆様、どうもお疲れ様でした。,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,10,260,Van,Heh.,Heh.,ヴァン,ヘッ……,ヘッ……,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,10,261,Elaine,Haha...,Haha...,エレイン,ふふ……,ふふ……,,"<img class=""itp-kuro"" src=""itp/11/avfc5110_out.webp""/>"
m7100,10,262,Kincaid,*sigh*,*sigh*,キンケイド,……やれやれ。,……やれやれ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,10,263,Agnes,...,...,アニエス,………………………,………………………,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,10,264,Judith,...Feeling jealous?,...Feeling jealous?,ジュディス,……羨ましい？,……羨ましい？,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7100,10,265,Agnes,"A little, yes.","A little, yes.",アニエス,はい、ちょっとだけ。,はい、ちょっとだけ。,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,10,266,Agnes,"Still, I'm glad it could happen. It feels like it's been seven years in the making.","Still, I'm glad it could happen. It feels like it's been<br/>seven years in the making.",アニエス,……でも良かったです。 ７年越しみたいですから。,……でも良かったです。<br/>７年越しみたいですから。,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,10,267,Judith,Heh. I suppose so.,Heh. I suppose so.,ジュディス,フフ、そっか。,フフ、そっか。,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7100,10,268,Judith,(I'm hoping everyone was too distracted from the fight to notice me transform...),(I'm hoping everyone was too distracted from the<br/>fight to notice me transform...),ジュディス,（って思わずあの状態になったけど   乱戦だったしセーフ、よね……？）,（って思わずあの状態になったけど<br/>  乱戦だったしセーフ、よね……？）,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7100,10,269,Daughter's voice,"Damn. We come down here after sensing some evil shit in the air, and what do we find?","Damn. We come down here after sensing some evil<br/>shit in the air, and what do we find?",娘の声,オイオイ…… 邪気を感じて来てみりゃあ。,"<audio id=""v24_60000""><source src=""talk/11/v24_60000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v24_60000').play()"">オイオイ……<br/>邪気を感じて来てみりゃあ。</a>",,
m7100,10,270,Ferry,Y-You're those church knights...,Y-You're those church knights...,フェリ,あ、教会の……,あ、教会の……,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,10,271,Aaron,If it isn't our favorite couple of crackpots.,If it isn't our favorite couple of crackpots.,アーロン,凸凹騎士コンビかよ。,凸凹騎士コンビかよ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,10,272,Guardian Knight Cecil,"Lookin' for a fight, punk? Wait—was an archdevil here?","Lookin' for a fight, punk? Wait—was an<br/>archdevil here?",守護騎士セリス,アア？　やんのか赤毛── って、こいつは高位悪魔の残滓……,"<audio id=""v24_60001""><source src=""talk/11/v24_60001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v24_60001').play()"">アア？　やんのか赤毛──<br/>って、こいつは高位悪魔の残滓……</a>",,
m7100,10,273,Guardian Knight Lion,"I have to wonder if we were even needed, with our master already being here.","I have to wonder if we were even needed, with our<br/>master already being here.",守護騎士リオン,やれやれ、先生もいますし 出遅れちゃったみたいですね。,"<audio id=""v17_60000""><source src=""talk/11/v17_60000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v17_60000').play()"">やれやれ、先生もいますし<br/>出遅れちゃったみたいですね。</a>",,
m7100,10,274,Bellegarde,Not at all. You came at the perfect time.,Not at all. You came at the perfect time.,ベルガルド,フフ、２人とも良き所に来たな。,フフ、２人とも良き所に来たな。,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,10,275,Fee,"Nice going, Elaine. Looks like you didn't arrive a minute too soon.","Nice going, Elaine. Looks like you didn't arrive a<br/>minute too soon.",フィー,お疲れ、エレイン。 良いタイミングだったみたいだね？,"<audio id=""v14_60000""><source src=""talk/11/v14_60000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v14_60000').play()"">お疲れ、エレイン。<br/>良いタイミングだったみたいだね？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5112_out.webp""/>"
m7100,10,276,Immovable Jin,We could hear the fighting while we were on our way here.,We could hear the fighting while we were on our<br/>way here.,不動のジン,フフ、微かに剣戟が響いてたが。,"<audio id=""v11_60000""><source src=""talk/11/v11_60000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v11_60000').play()"">フフ、微かに剣戟が響いてたが。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0111_out.webp""/>"
m7100,10,277,Immovable Jin,"Bet you and your old friends worked together like a dream, huh?","Bet you and your old friends worked together like a<br/>dream, huh?",不動のジン,どうやら幼馴染み同士、 上手く連携できたみたいじゃないか？,"<audio id=""v11_60001""><source src=""talk/11/v11_60001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v11_60001').play()"">どうやら幼馴染み同士、<br/>上手く連携できたみたいじゃないか？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0111_out.webp""/>"
m7100,10,278,Elaine,"A nice enough dream, I suppose... Why are you looking at me like that?","A nice enough dream, I suppose... Why are you<br/>looking at me like that?",エレイン,まあ、それなりには…… ──って、何ですかその目は？,まあ、それなりには……<br/>──って、何ですかその目は？,,"<img class=""itp-kuro"" src=""itp/11/avfc5110_out.webp""/>"
m7100,10,279,Immovable Jin,Like what?,Like what?,不動のジン,いや別に？,"<audio id=""v11_60002""><source src=""talk/11/v11_60002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v11_60002').play()"">いや別に？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0111_out.webp""/>"
m7100,10,280,Fee,You're just imagining it.,You're just imagining it.,フィー,気のせい、気のせい。,"<audio id=""v14_60001""><source src=""talk/11/v14_60001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v14_60001').play()"">気のせい、気のせい。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5112_out.webp""/>"
m7100,10,281,Hercules Officer,"Reporting in, sir!","Reporting in, sir!",ハーキュリーズ隊員,補佐官、お疲れ様です！,補佐官、お疲れ様です！,,
m7100,10,282,Hercules Officer,Are those the rest of their members?,Are those the rest of their members?,ハーキュリーズ隊員,そちらが残りのメンバーですね？,そちらが残りのメンバーですね？,,
m7100,10,283,Kincaid,Correct. Take them into custody. This should be the last of them.,Correct. Take them into custody. This should be the<br/>last of them.,キンケイド,ああ、拘束しろ。 数は合っているはずだ。,ああ、拘束しろ。<br/>数は合っているはずだ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,10,284,Hercules Officer,"Yes, sir!","Yes, sir!",ハーキュリーズ隊員,イエス・サー！,イエス・サー！,,
m7100,10,285,Van,*sigh* Feels to me like we were never needed here.,*sigh* Feels to me like we were never needed here.,ヴァン,……やれやれ。 俺たちが動くまでもなかったか？,……やれやれ。<br/>俺たちが動くまでもなかったか？,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,10,286,Agnes,"Oh, I'm sure that's not true.","Oh, I'm sure that's not true.",アニエス,ふふっ…… そんなこと、ないと思います。,ふふっ……<br/>そんなこと、ないと思います。,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,10,287,Lisette,"We were able to lure out the bulk of Almata's remaining forces, after all.","We were able to lure out the bulk of Almata's<br/>remaining forces, after all.",リゼット,ええ、アルマータの残党も 大半が炙り出せたようですし。,ええ、アルマータの残党も<br/>大半が炙り出せたようですし。,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,10,288,Quatre,"Whew... Finally, we can take a break.","Whew... Finally, we can take a break.",カトル,はあ～…… これでやっと一区切りみたいだね。,はあ～……<br/>これでやっと一区切りみたいだね。,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,10,289,Aaron,I'm just glad we were able to smack some sense into those idiots when they went crazier than a pom sprouting tits.,I'm just glad we were able to smack some sense into<br/>those idiots when they went crazier than a pom<br/>sprouting tits.,アーロン,ハッ、テンパった馬鹿共を ブチのめせたのは良かったぜ。,ハッ、テンパった馬鹿共を<br/>ブチのめせたのは良かったぜ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,10,290,Judith,"There are better ways of putting it! ...Still, I'm pooped.","There are better ways of putting it! ...Still,<br/>I'm pooped.",ジュディス,コラコラ。 ……しかし流石に疲れたわね～。,コラコラ。<br/>……しかし流石に疲れたわね～。,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7100,10,291,Ferry,"Same here. As soon as I realized it was over, my stomach started rumbling like crazy.","Same here. As soon as I realized it was over, my<br/>stomach started rumbling like crazy.",フェリ,はい……ホッとしたら お腹空いてきちゃいました……,はい……ホッとしたら<br/>お腹空いてきちゃいました……,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,10,292,Fee,"I know it won't make up for everything you've done, especially in Oración, so we can leave that for some other time...","I know it won't make up for everything you've done,<br/>especially in Oración, so we can leave that for some<br/>other time...",フィー,そうだ、オラシオンも含めた 打ち上げじゃないけど……,そうだ、オラシオンも含めた<br/>打ち上げじゃないけど……,,"<img class=""itp-kuro"" src=""itp/11/avfc5112_out.webp""/>"
